,Major_x,Final_Grade_f,Total_Points_f,Exam_1_f,Exam_1_Scaled_f,HW_1_f,Quiz_1_f,Exam_2_f,Exam_2_Scaled_f,hw_f,Exam_3_f,Exam_3_Scaled_f,Final_Exam_Raw_f,Final_Exam_Scaled_f,Final_Grade_s,Total_Points_s,Exam_1_s,Extra_Credit_s,Exam_2_s,Exam_3_s,Exam_3_Scaled_s,Avg_of_3_exams_s,Total_Exam_Score_s,Replace_lowest_with_avg_s,Final_Exam_Raw_s,Final_Exam_Scaled_s
10,Sci/Phy/Ugrad/FA - Computer Science/Economics,,403.0,25.0,120.0,2.0,3.0,,0.0,,,0.0,,22.8571428571,,,,,,,,,,,,
11,Sci/Phy/Ugrad/FA - Transfer Prgrm in Engineering,B,843.0,35.0,160.0,5.0,6.0,55,100.0,9.0,82.0,164.0,21.0,142.8571428571,A-,902.0,152.0,20.0,200.0,177.0,221.25,191.0,612.0,672.0,17.0,210.0
12,Undeclared/Ugrad/FA - Undeclared,C+,775.0,27.0,128.0,,5.0,65,118.0,8.0,75.0,150.0,20.0,137.1428571429,C-,704.0,162.0,,103.0,158.0,197.5,154.0,514.0,554.0,11.0,150.0
13,NonDeg/Ugrad/NonFA - Non-Degree STC,,377.0,21.0,104.0,,,,0.0,,,0.0,,22.8571428571,,,,,,,,,,,,
14,,,,,,,,,,,,,,,C+,762.0,116.0,,165.0,146.0,182.5,155.0,502.0,542.0,18.0,220.0
15,,,,,,,,,,,,,,,A,941.0,190.0,19.0,210.0,192.0,240.0,213.0,663.0,722.0,16.0,200.0
16,Sci/Phy/Ugrad/FA - Physics,B,859.0,34.0,156.0,2.0,,78,142.0,15.0,86.0,172.0,21.0,142.8571428571,A-,896.0,186.0,18.0,122.0,181.0,226.25,178.0,590.0,648.0,19.0,230.0
17,Sci/Phy/Ugrad/FA - Electrical Engineering,A,1001.0,44.0,196.0,,8.0,107,195.0,,95.0,190.0,30.0,194.2857142857,A,947.0,196.0,19.0,215.0,184.0,230.0,214.0,659.0,718.0,17.0,210.0
18,NonDeg/Ugrad/NonFA - Non Degree - Aspirations,A,1092.0,47.0,208.0,5.0,9.0,104,189.0,12.0,110.0,220.0,34.0,217.1428571429,A,1075.0,233.0,18.0,252.0,195.0,243.75,243.0,739.0,797.0,22.0,260.0
19,Sci/Phy/Ugrad/FA - Computer Science,B+,891.0,32.0,148.0,6.0,7.0,99,180.0,5.0,76.0,152.0,25.0,165.7142857143,B-,803.0,178.0,,190.0,156.0,195.0,188.0,573.0,613.0,15.0,190.0
20,Sci/Phy/Ugrad/FA - Mechanical Engineering,A-,923.0,38.0,172.0,4.0,2.0,75,136.0,5.0,92.0,184.0,27.0,177.1428571429,,,,,,,,,,,,
21,Sci/Phy/Ugrad/FA - Transfer Prgrm in Engineering,,357.0,17.0,88.0,2.0,,,0.0,,,0.0,,22.8571428571,,,,,,,,,,,,
22,Sci/Phy/Ugrad/FA - Biochemistry,,323.0,11.0,64.0,0.0,,,0.0,,,0.0,,22.8571428571,,,,,,,,,,,,
23,Sci/Phy/Ugrad/FA - Computer Science,A,987.0,46.0,204.0,4.0,9.0,100,182.0,7.0,90.0,180.0,27.0,177.1428571429,C+,778.0,128.0,,164.0,166.0,207.5,167.0,538.0,578.0,16.0,200.0
24,Sci/Phy/Ugrad/FA - Electrical Engineering,A,962.0,41.0,184.0,,6.0,104,189.0,,94.0,188.0,27.0,177.1428571429,C+,783.0,176.0,9.0,185.0,144.0,180.0,180.0,545.0,594.0,14.0,180.0
25,Sci/Phy/Ugrad/FA - Physics,B+,894.0,41.0,184.0,0.0,3.0,88,160.0,,61.0,122.0,27.0,177.1428571429,F ,144.0,33.0,,30.0,30.0,37.5,34.0,104.0,144.0,,
26,,,,,,,,,,,,,,,D-,599.0,140.0,,77.0,112.0,140.0,119.0,399.0,439.0,12.0,160.0
27,Sci/Phy/Ugrad/FA - Computer Science,F ,577.0,25.0,120.0,,,45,82.0,,57.0,114.0,,22.8571428571,,,,,,,,,,,,
